name,latin_name,temperature,length,location,food,kryjowka_info,breeding_info
Cierniooczek długonosy – Mułojad, Acantopsis dialuzona ,24 - 28°C,20 cm,Azja,"mrożony,roślinny,suchy,żywy","<p>Akwarium powinno mieć co najmniej 120 cm długości. <strong>Najodpowiedniejszym podłożem dla cierniooczków jest piasek</strong> w którym chętnie się zakopują. W przypadku zastosowania innego podłoża mogą być zestresowane i mieć trudności z przyjmowaniem pokarmów. Do dekoracji zbiornika można użyć poskręcanych korzeni lub drewna, które zapewnią im zacienione kryjówki. Niezbyt mocne światło i kilka suchych liści na dnie dopełni efekt naturalności zbiornika. Niezbędny jest również wydajny filtr, który dobrze natleni wodę i zapewni jej właściwy obieg. Tak jak wiele innych gatunków zamieszkujących wody płynące tak i mułojady są dość wrażliwe na zanieczyszczenia organiczne. Dlatego też, zalecane są ok 30 – 50% cotygodniowe podmiany wody.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,10 - 12 lat"
Cierniooczek Kuhla – Piskorek Kuhli, Pangio semicincta ,21 - 26°C,9 cm,Azja,"mrożony,suchy,żywy","<p>Akwarium minimum 54 l, miejscami gęsto obsadzone roślinami, <strong>koniecznie z miękkim podłożem</strong> (najlepiej piasek z dodatkiem torfu). Zbiornik powinien być wyposażony w kryjówki z kamieni i korzeni oraz zacieniony kilkoma roślinami pływającymi. Preferują wodę miękką i kwaśną, dobrze natlenioną z dość silnym nurtem. W tradycyjnym akwarium towarzyskim można je trzymać z małymi, spokojnymi rybami o podobnych wymaganiach środowiskowych. W akwarium z piskorkami zaleca się stosowanie pokrywy.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Czerwieniak dwuplamy – cętkowany, Hemichromis guttatus ,22 - 28°C,12 cm,Afryka,bardzo agresywne,"<p>Dla pary zaleca się akwarium min. 90 cm długości, najlepiej z miękkim piaszczystym podłożem oraz licznymi zakamarkami. Do dekoracji można użyć suchego drewna, korzeni, gładkich kamieni i skał. Jeżeli nie zależy nam na naturalnym charakterze zbiornika, to dobrymi kryjówkami będą donice gliniane. Tak jak wiele innych pielęgnicowatych przekopują podłoże i mogą wykopywać rośliny. Najlepiej wybierać takie, które rosną przyczepione do dekoracji lub wkładać w doniczkach. Do afrykańskiego biotopu odpowiednim gatunkiem będzie np. Żabienica (Echinodorus), Aponogeton, Krynia (Crinum), Bolbitis czy Anubias.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,bardzo agresywne,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,5 - 8 lat"
Loricaria red lizard – Zbrojnik czerwony, Rineloricaria sp. red ,24 - 29°C,12 cm,Ameryka Płd.,"glony,mrożony,roślinny,suchy,żywy","<p>Dla małej grupy zaleca się ok. 70 litrowe, co najmniej 75 cm akwarium, z piaszczystym podłożem. Do dekoracji można użyć gałęzi, korzeni, owalnych i gładkich kamieni oraz suchych liści. W zbiorniku powinno być dużo kryjówek i grot, niezbędnych do rozrodu (można zastosować rurki z pcv). Dobrze czują się w akwariach roślinnych, ale nie przepadają za zbyt jasnym oświetleniem.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,5 - 8 lat"
Danio erythromicron, Celestichthys erythromicron ,20 - 24°C,2 cm,Azja,"mrożony,suchy,żywy","<p>Małej grupie danio erythromicron wystarczy ok. 30 litrowe akwarium, gęsto obsadzone drobnolistnymi roślinami. Najlepiej prezentują się w zbiornikach niezbyt jasno oświetlonych i z ciemnym podłożem. Suche liście i korzenie a szczególnie te, które zabarwiają wodę nie są wskazane. Ruch wody nie powinien być zbyt duży. Wymagają dobrej filtracji. Są rybami delikatnymi wrażliwymi na zanieczyszczenia i wahania parametrów wody. Temperatura w jeziorze w którym żyją waha się między 20 – 24 C, pH 7.0-8.0, twardość 12-20 dGH. Dlatego też źle będą czuły się w wodzie kwaśnej.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 lata"
Czerwieniak kongijski – Moanda, Hemichromis lifalili ,22 - 24°C,10 cm,Afryka,umiarkowane,"<p>Dla pary odpowiednie będzie akwarium min. 75 cm długości, najlepiej z miękkim piaszczystym podłożem i licznymi kryjówkami. Jako dekoracji można użyć suchego drewna, korzeni, kamieni i skał. Jeżeli nie zależy nam na naturalnym wyglądzie akwarium, to jako kryjówki dobrze sprawdzą się donice gliniane. <strong>Tak jak większość innych pielęgnic przekopują podłoże, ale raczej tylko je przerzucają dookoła, niż wykopują zakorzenione już rośliny.</strong> Te dla pewności można włożyć do akwarium w doniczkach lub przyczepić do dekoracji. Do afrykańskiego biotopu pasować będą – Anubiasy, Bolbitisy, Krynie (<em>Crinum</em>), Żabienice (<em>Echinodorus</em>), <em>Aponogeton</em>.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm:,Długość życia: ,5 - 8 lat"
Danio lamparci, Brachydanio rerio var. frankei ,18 - 24°C,5 cm,Azja,"mrożony,suchy,żywy","<p>Niewielką grupkę można trzymać w ok 54 litrowym akwarium. Lubią akwaria z silnym prądem i odpowiednią przestrzenią do pływania, bogato obsadzone roślinnością. <strong>Są doskonałym gatunkiem do długich i płaskich akwariów</strong>. Ryby najpiękniej prezentują się w zbiorniku z ciemnym podłożem i niezbyt mocnym oświetleniem. Woda powinna być dobrze filtrowana i natleniona i zaleca się jej regularne podmiany – ok 20-30%. Warto akwarium wyposażyć w pokrywę ponieważ mogą wyskakiwać.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 - 7 lat"
Danio malabarski, Devario malabaricus ,21 - 25°C,10 cm,Azja,"mrożony,suchy,żywy","<p>Wymagają akwarium o długości co najmniej 100 cm, obsadzonego roślinami wyłącznie z tyłu i po bokach, z pozostawionym rozległym obszarem do pływania. Najlepiej będą się czuły w zbiorniku urządzonym na wzór rzeki, z piaszczystym lub żwirowym podłożem, gładkimi kamieniami i kilkoma głazami. Do dekoracji można użyć również suchych korzeni i gałęzi. W takim środowisku najlepiej sprawdzą się wytrzymałe gatunki roślin, przyczepiane do dekoracji np. Mikrozorium, Bolbtis czy Anubias. Ze względu na ich zdolność do wyskakiwania akwarium należy wyposażyć w pokrywę. Woda powinna być czysta, dobrze natleniona z wymuszonym ruchem.<strong> Zalecane regularne podmiany wody w ilości 30-50%.</strong></p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 - 7 lat"
Kosiarka – Grubowarg syjamski, Crossocheilus langei ,22 - 26°C,15 cm,Azja,"glony,mrożony,roślinny,suchy,żywy","<p>Wymagają akwarium o długości co najmniej 120 cm. Kosiarki lubią podłoże z dodatkiem żwiru i kamieni o zróżnicowanej wielkości. Zbiornik dekorujemy korzeniami i obsadzamy wytrzymałymi roślinami takimi jak np.: <a title=""Anubias bateri Nana"" href=""https://rybyakwariowe.eu/roslina-akwariowa/anubias-bateri-nana/"" target=""_blank"" rel=""noopener noreferrer"">Anubias</a>, Mikrozorium, Bolbitis, które mogą rosnąć przymocowane do dekoracji. <strong>Ryby dobrze czują się w wodzie z silnym prądem</strong>. Cechują się dużą wrażliwością na niedotlenienie, oraz na wysoką zawartość azotanów w wodzie. Do ich hodowli ważna jest czysta, natleniona woda, często podmieniana na świeżą. Zaleca się również mocne oświetlenie, które stymuluje porost glonów. Akwarium powinno być przykryte, aby zapobiec wyskakiwaniu ryb.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Danio pręgowany – zebra, Brachydanio rerio ,18 - 24°C,5 cm,Azja,łagodne,"<p>Dla małej grupy ok. 8-10 osobników wystarczy akwarium 60 cm długości, z dość silnym, wymuszonym prądem wody, bogato obsadzone roślinnością ale jednocześnie z pozostawioną sporą przestrzenią do pływania. <strong>Są doskonałym gatunkiem do długich i płaskich akwariów</strong>. Ryby najpiękniej prezentują się w zbiorniku z ciemnym podłożem i niezbyt mocnym oświetleniem. Ze względu na upodobanie do wyskakiwania z wody zalecane przykryte akwarium.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,łagodne,Trudność hodowli: ,łatwa,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 - 7 lat"
Microrasbora kubotai, Microdevario kubotai ,20 - 27°C,1.9 cm,Azja,"mrożony,suchy,żywy","<p>Niewielka grupa razborek kubotai <strong>może być trzymana w min. 30 litrowym zbiorniku</strong>, miejscowo gęsto obsadzonym roślinnością, oraz zacienionymi miejscami. Do dekoracji użyć można suchych korzeni lub gałązek oraz kamieni. Wskazane są również rośliny pływające, które ograniczą ilość wpadającego światła. Ruch wody powinien być umiarkowany – nie za mocny, ale jednocześnie zapewniający jej dobre natlenienie. Ryby należy wprowadzać do dojrzałego akwarium. <strong>Wymagają wysokiej jakości wody o stabilnych parametrach.</strong> W celu właściwego utrzymania, zaleca się częste, lecz niewielkie podmiany świeżej wody.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,2 - 3 lat"
Labeo – Grubowarg zielony, Epalzeorhynchos frenatum ,22 - 26°C,15 cm,Azja,"glony,mrożony,roślinny,suchy,żywy","<p>Dla jednego osobnika wymagane jest akwarium o co najmniej 120 cm długości, gęsto obsadzone roślinami, wyposażone w kryjówki z kamieni i korzeni oraz z piaszczystym podłożem. W zbiorniku możemy także umieścić suche korzenie lub gałęzie, które możemy udekorować roślinami takimi jak np. Mikrozorium, Bobitis, Anubias. Jasne oświetlenie zapewni stały wzrost przysmaku ryb czyli glonów.<strong> Labeo nie tolerują wysokich stężeń azotanów</strong>, dlatego niezbędny będzie wydajny filtr, który zapewni również znaczny ruch wody i jej odpowiednie natlenienie. Aby zapobiec wyskakiwaniu ryb akwarium powinno być przykryte.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,5 - 8 lat"
Modrook słoneczny – Pseudomugil furcatus, Popondichthys furcatus ,24 - 28°C,4 - 6 cm,Nowa Gwinea,"mrożony,suchy,żywy","<p>Zalecane akwarium długości co najmniej 60 cm, z wyczuwalnym prądem wody, zacienione roślinnością pływającą i miejscami gęsto obsadzone roślinami. Powykręcane korzenie dodadzą zbiornikowi bardziej naturalnego wyglądu. Ryby najlepiej czują się w dobrze natlenionej, ciepłej (między 24 – 28°C), miękkiej lub średnio-twardej wodzie w przedziale 7 – 8 pH. <strong>Nie powinno się ich wpuszczać do świeżo zakładanych akwariów</strong> ponieważ są dość wrażliwe na zanieczyszczenia i wahania parametrów wody.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 lata"
Modrook Gertrudy – Pseudomugil Gertrudy, Pseudomugil gertrudae ,21 - 28°C,3 - 4 cm,Nowa Gwinea,"mrożony,suchy,żywy","<p>Modrooki Gertrudy należy trzymać w akwarium o wymiarach co najmniej 45x30x30 cm, obsadzonym częściowo roślinami z rozległą przestrzenią do pływania. Najpiękniej prezentują się w zacienionym zbiorniku z ciemnym, drobnoziarnistym podłożem. Wskazane jest również dodanie kilku korzeni, które nadadzą akwarium bardziej naturalnego wyglądu. Woda powinna być dobrze natleniona z wyczuwalnym ruchem. <strong>Nie zaleca się wprowadzania tego gatunku do nowo zakładanego zbiornika</strong> w którym nie ustabilizowane są jeszcze procesy biologiczne. Ryby są bardzo wrażliwe na zmiany parametrów wody.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,2 - 3 lat"
